Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
Uruguai,Raditon,Solar,Paysandú,8,Em operação,Indeterminado,Raditon S.A.,Privado,Paysandú (Uruguai),http://eldiario.com.uy/2013/11/13/la-intendencia-y-raditon-s-a-firmaron-comodato-que-permitira-la-instalacion-de-una-planta-fotovoltaica-en-el-parque-indEUAtrial/,-32.3896,-58.1316
Uruguai,Dicano,Solar,Paysandú,11,Em operação,2017,Dicano S.A.,Privado,Paysandú (Uruguai),,-32.296,-58.025
Uruguai,Fenima,Solar,Paysandú,9.5,Em operação,Indeterminado,Fenima S.A.,Privado,Paysandú (Uruguai),,-32.296,-58.02
Uruguai,Petilcoran,Solar,Paysandú,9.5,Em operação,2013,Petilcoran S.A.,Privado,Paysandú (Uruguai),https://www.ute.com.uy/institucional/infraestructura/fuentes-de-generacion,-32.296,-58.015
Uruguai,Casalko,Solar,Paysandú,2,Em operação,2013,Tecnova Renovables,Privado,Montevidéu (Uruguai),https://www.canal-ar.com.ar/19684-Se-instalaran-casi-8mil-paneles-solares-en-Paysandu.html,-32.2095,-58.005
Uruguai,Natelu,Solar,Soriano,9.5,Em operação,2017,Natelu S.A.,Privado,Soriano (Uruguai),https://www.ute.com.uy/institucional/infraestructura/fuentes-de-generacion,-33.2611,-57.9922
Uruguai,Asahi,Solar,Salto,0.5,Em operação,2013,UTE,Estatal,Montevidéu (Uruguai),http://turismoensalto.com/blog/asahi-primera-planta-fotovoltaica-del-Uruguai/,-31.28063126,-57.91726754
Uruguai,La Jacinta,Solar,Salto,50,Em operação,2015,Invenergy,Privado,Chicago (Estados Unidos),https://frv.com/projects/la-jacinta/,-31.4321,-57.914
Uruguai,Del Litoral,Solar,Salto,16,Em operação,2017,Atlas Renewable Energy,Privado,Miami (Estados Unidos),https://www.atlasrenewableenergy.com/proyectos/planta-solar-del-litoral-el-salto-Uruguai/,-31.4397,-57.8678
Uruguai,El Naranjal,Solar,Salto,50,Em operação,2017,Atlas Renewable Energy,Privado,Miami (Estados Unidos),https://www.atlasrenewableenergy.com/proyectos/planta-solar-naranjal-el-salto-Uruguai/,-31.2628,-57.8631
Uruguai,Yarnel,Solar,Río Negro,9.5,Em operação,2017,Yarnel S.A.,Privado,Río Negro (Uruguai),https://www.solariaenergia.com/es/parques-fotovoltaicos/parques-solares/yarnel-Uruguai-116-mw,-32.6848,-57.6068
Uruguai,Parque Eólico Artilleros,Eólica,Colonia,65,Em operação,2015,UTE + Eletrobras,Misto,Montevidéu (Uruguai),http://artilleroseolica.com.uy/,-34.3499,-57.5554
Uruguai,Parque Eólico Palomas,Eólica,Salto,70,Em operação,2017,Teyma Uruguai S.A.,Privado,Montevidéu (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_23365_campo-palomas.php,-31.15897224,-57.54458379
Uruguai,Arapey Solar,Solar,Salto,10,Em operação,2014,Giacote S. A.,Privado,Montevidéu (Uruguai),https://www.openstreetmap.org/way/591450831#map=9/-31.4685/-56.7361,-30.9148,-57.4682
Uruguai,Alto Cielo,Solar,Artigas,26,Em operação,2016,Terraform Global,Privado,Nova York (Estados Unidos),https://www.solarpack.es/pais/Uruguai/,-30.4214,-57.4574
Uruguai,Menafra Solar,Solar,Río Negro,20,Em operação,Indeterminado,Giacote S. A.,Privado,Montevidéu (Uruguai),https://globalpowerplantslookup.com/powerplant/menafra-solar,-32.6083,-57.4385
Uruguai,Parque Eólico Rosario,Eólica,Colonia,9,Em operação,2015,VentEUA Energía S.A.,Privado,Montevidéu (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_Rosario.php,-34.2265,-57.3366
Uruguai,Parque Eólico VentEUA I,Eólica,Colonia,9,Em operação,2015,VentEUA Energía S.A.,Privado,Montevidéu (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_VentEUAI.php,-34.2805,-57.3341
Uruguai,Parque Eólico Nuevo Pastorale I,Eólica,Flores,49,Em operação,2017,Vientos de Pastorale,Privado,Flores (Uruguai),https://www.grupocobra.com/proyecto/parque-eolico-pastorale/,-33.8948,-56.9202
Uruguai,Parque Eólico Kiyú,Eólica,San José,49,Em operação,2016,Parque Eólico Kiyú S.A.,Privado,Montevidéu (Uruguai),https://www.grupocobra.com/proyecto/parque-eolico-kiyu/,-34.6698,-56.8018
Uruguai,Talas Del Maciel I,Eólica,Flores,50,Em operação,2015,Astidey S.A.,Privado,Flores (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_22972_talas-de-maciel-i.php,-33.6348,-56.7214
Uruguai,Talas Del Maciel II,Eólica,Flores,50,Em operação,2015,Cadonal S.A.,Privado,Montevidéu (Uruguai),https://infonegocios.biz/plEUA/se-inauguro-parque-eolico-talas-de-maciel-ii-para-2016-tendran-mas-de-300mw-instalados,-33.605,-56.7117
Uruguai,Juan Pablo Terra,Eólica,Artigas,67,Em operação,2014,UTE,Estatal,Montevidéu (Uruguai),https://www.csa.com.uy/portfolio_page/parque-eolico-juan-pablo-terra/,-30.409,-56.6401
Uruguai,Parque Eólico Villa Rodríguez,Eólica,Lavalleja,10,Em operação,2016,VentEUA Energía S.A.,Privado,Montevidéu (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_VillaRodriguez.php,-34.3783,-56.5944
Uruguai,Marystay,Eólica,San José,2,Em operação,2017,Marystay S.A.,Privado,Maldonado (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_Marystay.php,-34.6323,-56.5932
Uruguai,Parque Eólico Libertad,Eólica,San José,7.7,Em operação,2014,VentEUA Energía S.A.,Privado,Montevidéu (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_Libertad.php,-34.6346,-56.5865
Uruguai,Santa Fe,Eólica,San José,1.8,Em operação,2013,Blengio,Privado,Montevidéu (Uruguai),https://webcache.googleEUAercontent.com/search?q=cache:bKpqOwcxuY4J:https://www.adme.com.uy/db-docs/Docs_secciones/nid_1320/PES_Mayo21.pdf+&cd=1&hl=es-419&ct=clnk&gl=ar,-34.6512,-56.5844
Uruguai,Colonia Arias,Eólica,Flores,70,Em operação,2017,UTE + accionistas,Misto,Montevidéu (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_27376_arias.php,-33.8289,-56.5739
Uruguai,Parque Eólico Magdalena,Eólica,San José,17.2,Em operação,2011,Kentilux S.A.,Privado,San José (Costa Rica),https://www.theEólicapower.net/Eólicafarm_es_17057_magdalena-i.php,-34.7458,-56.5731
Uruguai,Parque Eólico María Luz,Eólica,San José,10,Em operação,2015,VentEUA Energía S.A.,Privado,Montevidéu (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_MariaLuz.php,-34.2931,-56.5275
Uruguai,Cuchilla Del Peralta I,Eólica,Tacuarembó,50,Em operação,2014,Palmatir S.A.,Privado,Montevidéu (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_21758_cuchilla-de-peralta.php,-32.5701,-56.444
Uruguai,Luz De Río,Eólica,Florida,50,Em operação,2014,Luz de Río S.A.,Privado,Florida  (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_21867_luz-de-rio.php,-33.8855,-56.4428
Uruguai,Peralta Ii Gcee,Eólica,Tacuarembó,59,Em operação,2015,Agua Leguas S.A.,Privado,Tacuarembó (Uruguai),http://wikimapia.org/39136707/es/Parque-e%C3%B3lico-Peralta-GCEE-Peralta-I-y-II,-32.6004,-56.4196
Uruguai,Peralta I Gcee,Eólica,Tacuarembó,59,Em operação,2015,Agua Leguas S.A.,Privado,Tacuarembó (Uruguai),https://cdm.unfccc.int/Projects/DB/TUEV-SUED1355827847.52/view,-32.5826,-56.3946
Uruguai,Luz De Mar,Eólica,Florida,18,Em operação,2014,Luz de Mar. S.A.,Privado,Florida (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_22246_luz-de-mar.php,-33.8763,-56.3505
Uruguai,Luz De Loma,Eólica,Florida,20,Em operação,2014,Luz de Loma S.A.,Privado,Florida (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_22247_luz-de-loma.php,-33.8663,-56.3405
Uruguai,Parque Eólico Corfrisa,Eólica,Canelones,2,Em operação,2017,VentEUA Energía S.A.,Privado,Montevidéu (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_Corfrisa.php,-34.71746769,-56.21948442
Uruguai,Pampa,Eólica,Tacuarembó,142,Em operação,2017,UTE + accionistas,Misto,Montevidéu (Uruguai),https://www.gub.uy/presidencia/comunicacion/noticias/ute-presento-parque-eolico-pampa-capacidad-generar-140-mw,-32.2467,-56.215
Uruguai,Parque Eólico Florida I,Eólica,Florida,50,Em operação,2014,Polesine,Privado,Montevidéu (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_20631_florida.php,-34.0959,-56.1026
Uruguai,Parque Eólico Florida II,Eólica,Florida,50,Em operação,2016,Polesine,Privado,Montevidéu (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_22632_florida-ii.php,-34.1172,-56.0892
Uruguai,Parque Eólico Marfrig,Eólica,Tacuarembó,1.8,Em operação,2016,VentEUA Energía S.A.,Privado,Montevidéu (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_Marfrig.php,-31.69716664,-55.93775559
Uruguai,Engraw,Eólica,Florida,3.6,Em operação,2012,Engraw Export & Import CO. S.A.,Privado,Montevidéu (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_Engraw.php,-34.2042,-55.748
Uruguai,Parque Eólico Urufor,Eólica,Rivera,3.3,Em operação,2017,Urufor S.A.,Privado,Rivera (Uruguai),http://zetap.net/demo-gruasmar/energia-eolica/221-urufor-rivera.html,-30.93836591,-55.55867177
Uruguai,Parque Eólico Solás De Mataojo,Eólica,Canelones,10,Em operação,2016,VentEUA Energía S.A.,Privado,Montevidéu (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_SolisdeMataojo.php,-34.6403,-55.5541
Uruguai,Minas I,Eólica,Lavalleja,42,Em operação,2014,GEMSA,Privado,Montevidéu (Uruguai),https://openinframap.org/stats/area/Uruguai/plants/-7673705,-34.4647,-55.3065
Uruguai,Planta Piloto,Eólica,Maldonado,0.15,Em operação,2000,UDELAR y UTE,Estatal,Montevidéu (Uruguai),http://wikimapia.org/36504377/es/Planta-piloto,-34.42496957,-55.18361648
Uruguai,Parque Eólico Julieta,Eólica,Durazno,3.6,Em operação,2016,Iweryl S.A.,Privado,Durazno (Uruguai),https://ventEUAenergia.com/proyectos/eolico/PE_Julieta.php,-33.0857,-55.1711
Uruguai,Valentines,Eólica,Treinta y Tres,70,Em operação,2016,Glymont S.A.,Privado,Montevidéu (Uruguai),https://www.elobservador.com.uy/nota/parque-eolico-valentines-distribuyo-utilidades-a-miles-de-inversores-minoristas-201861417400,-33.2672,-55.1021
Uruguai,Caracoles 2 Del Parque Eólico Ing. Emanuele Cambilargiu,Eólica,Maldonado,10,Em operação,2008,UTE,Estatal,Montevidéu (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_17056_los-caracoles-ii.php,-34.6481,-54.9661
Uruguai,Caracoles 1 Del Parque Eólico Ing. Emanuele Cambilargiu,Eólica,Maldonado,10,Em operação,2008,UTE,Estatal,Montevidéu (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_4142_los-caracoles-i.php,-34.6269,-54.9575
Uruguai,Parque Eólico Maldonado,Eólica,Maldonado,50,Em operação,2011,R. del Sur S.A.,Privado,Montevidéu (Uruguai),https://noticiasambientales.com/energia/Uruguai-inauguraron-el-parque-eolico-maldonado/,-34.5154,-54.9075
Uruguai,Parque Eólico Maldonado II,Eólica,Maldonado,50,Em operação,2016,R. del Este S.A.,Privado,Montevidéu (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_29441_maldonado-ii.php,-34.4397,-54.8887
Uruguai,Parque Eólico Carapé I,Eólica,Maldonado,51,Em operação,2015,Fingano S.A.,Privado,Maldonado (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_19353_carape-i.php,-34.395,-54.6951
Uruguai,Parque Eólico Carapé II,Eólica,Maldonado,40,Em operação,2015,Vengano S.A.,Privado,Maldonado  (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_23322_carape-ii.php,-34.4028,-54.6783
Uruguai,Agroland,Eólica,Maldonado,5.5,Em operação,2007,Agroland S.A.,Privado,Maldonado (Uruguai),https://www.agroland.com/es/02energia.php.html,-34.63703258,-54.61685325
Uruguai,MeloEólica,Eólica,Cerro Largo,50,Em operação,2015,Estrellada S.A.,Privado,Montevidéu (Uruguai),http://www.ingener.com/casos/meloEólica/,-32.5828,-54.2302
Uruguai,Parque Eólico Loma Alta - Central 1,Eólica,Rocha,14,Em operação,2008,Nuevo Manantial S.A.,Privado,Rocha (Uruguai),https://globalpowerplantslookup.com/powerplant/parque-eolico-loma-alta-central-1,-34.2862,-54.0603
Uruguai,Nuevo Manantial Central 2,Eólica,Rocha,4,Em operação,Indeterminado,Nuevo Manantial S.A.,Privado,Rocha (Uruguai),https://www.theEólicapower.net/Eólicafarm_es_4140_nuevo-manantial.php,-34.2862,-54.04
